inspectionid,dbaname,akaname,license,facilitytype,risk,address,city,state,zip,inspectiondate,inspectiontype,results,latitude,longitude
58415,walgreens #1298,walgreens #1298,2003079,grocery store,risk 3 (low),1372 n milwaukee ave,chicago,il,60622,2010-04-01,license,pass,41.90665738,-87.67187112
58416,the nicholson school,the nicholson school,2002702,daycare (2 - 6 years),risk 1 (high),1700 w cortland st,chicago,il,60622,2010-04-01,license,fail,41.91618227,-87.67034138
58417,francesca's forno,francesca's forno,1477723,restaurant,risk 1 (high),1576 n milwaukee ave,chicago,il,60622,2010-04-01,complaint re-inspection,pass,41.91005984,-87.67719123
58418,clemente comm  (h/s),clemente comm  (h/s),51091,school,risk 1 (high),1147 n western ave,chicago,il,60622,2010-04-05,canvass,fail,41.90262318,-87.68686934
58419,a & w dollar plus,,2021850,grocery store,risk 3 (low),1001 n western ave,chicago,il,60622,2010-04-05,license re-inspection,pass,41.89942766,-87.68679101
58420,lafayette,lafayette,24121,school,risk 1 (high),2714 w augusta blvd,chicago,il,60622,2010-04-06,canvass,pass w/ conditions,41.89940402,-87.69494543
58421,wendy's #001206,wendy's #001206,6773,restaurant,risk 1 (high),1623 w division st,chicago,il,60622,2010-04-06,short form complaint,pass,41.90322156,-87.66848596
58422,el taco veloz taqueria,el taco veloz taqueria,45693,restaurant,risk 1 (high),1745 w chicago ave,chicago,il,60622,2010-04-06,short form complaint,pass,41.89589266,-87.67156245
58423,sweet cakes,sweet cakes,2026447,bakery,risk 2 (medium),901 n damen ave,chicago,il,60622,2010-04-08,license,fail,41.89777928,-87.67695887
58424,caesar's foods inc,caesar's foods inc,13670,restaurant,risk 1 (high),901 n damen ave,chicago,il,60622,2010-04-08,canvass,pass,41.89777928,-87.67695887
58425,be my guest events,be my guest events,1741808,restaurant,risk 1 (high),901 n damen ave,chicago,il,60622,2010-04-08,canvass,pass,41.89777928,-87.67695887
58426,just baked foods,just baked foods,1645618,,risk 1 (high),901 n damen ave,chicago,il,60622,2010-04-08,out of business,pass,41.89777928,-87.67695887
58427,salud tequila lounge,salud tequila lounge,33136,restaurant,risk 1 (high),1471 n milwaukee ave,chicago,il,60622,2010-04-08,canvass,pass,41.90872609,-87.67466084
58428,the nicholson school,the nicholson school,2002702,daycare (2 - 6 years),risk 1 (high),1700 w cortland st,chicago,il,60622,2010-04-08,license re-inspection,pass,41.91618227,-87.67034138
58429,bricks on the run,bricks on the run,2022226,restaurant,risk 1 (high),1940 n elston ave,chicago,il,60642,2010-04-09,license re-inspection,pass,41.91742776,-87.66730597
58430,wendy's #001206,wendy's #001206,6773,restaurant,risk 1 (high),1623 w division st,chicago,il,60622,2010-04-09,suspected food poisoning,pass w/ conditions,41.90322156,-87.66848596
58431,adobo grill,adobo grill,1193450,restaurant,risk 1 (high),2005-2007 w division st,chicago,il,60622,2010-04-09,canvass re-inspection,pass,41.90307675,-87.67752782
58432,janik's cafe,janik's cafe,1356941,restaurant,risk 1 (high),2011 w division st,chicago,il,60622,2010-04-09,canvass,pass,41.90307251,-87.67775518
58433,kendall college,kendall college-cafe/qsr,1905106,restaurant,risk 1 (high),900 n north branch,chicago,il,60642,2010-04-12,short form complaint,pass,41.89896533,-87.64809026
58434,"pronto 'za, llc",pronto 'za,1718300,restaurant,risk 1 (high),1234 n halsted st,chicago,il,60642,2010-04-12,canvass,fail,41.90450211,-87.64826687
58435,banana joe's,banana joe's,54507,restaurant,risk 1 (high),940 w weed st,chicago,il,60642,2010-04-12,no entry,pass,41.90989553,-87.65277244
58436,sweet cakes,sweet cakes,2026447,bakery,risk 2 (medium),901 n damen ave,chicago,il,60622,2010-04-13,license re-inspection,pass,41.89777928,-87.67695887
58437,piccolo,piccolo,1821656,restaurant,risk 1 (high),859 n damen ave,chicago,il,60622,2010-04-13,no entry,pass,41.89768855,-87.67695627
58438,life's a cabernet,life's a cabernet,2021653,liquor,risk 3 (low),1937 w north ave,chicago,il,60622,2010-04-13,license,fail,41.91039119,-87.67657254
58439,columbus,columbus,22791,school,risk 2 (medium),1003 n leavitt st,chicago,il,60622,2010-04-13,canvass,pass,41.89958139,-87.68190167
58440,filichia food & imports,filichia food & imports,1980422,restaurant,risk 1 (high),959 n western ave,chicago,il,60622,2010-04-13,canvass,fail,41.89933654,-87.68678817
58441,whole foods market,whole foods market,1933690,grocery store,risk 1 (high),1550 n kingsbury st,chicago,il,60642,2010-04-14,short form complaint,pass,41.90939879,-87.6530507
58442,lorraine's diner inc,lorraine's diner inc,1243583,restaurant,risk 1 (high),1959 w chicago ave,chicago,il,60622,2010-04-15,complaint re-inspection,pass,41.89580311,-87.67698748
58443,tumans,tuman's,1273473,restaurant,risk 1 (high),2159 w chicago ave,chicago,il,60622,2010-04-15,canvass,pass w/ conditions,41.89571957,-87.68182312
58444,california pizza kitchen,california pizza kitchen,1228435,restaurant,risk 1 (high),939 w north ave,chicago,il,60642,2010-04-15,canvass,pass w/ conditions,41.9107384,-87.65262887
58445,zentra,zentra,37577,restaurant,risk 3 (low),923 w weed st,chicago,il,60642,2010-04-15,no entry,pass,41.90968971,-87.65195482
58446,high dive,high dive,1472958,restaurant,risk 2 (medium),1938 w chicago ave,chicago,il,60622,2010-04-15,no entry,pass,41.89603665,-87.67614943
58447,cleo's,cleo's,72439,restaurant,risk 1 (high),1935 w chicago ave,chicago,il,60622,2010-04-16,canvass,pass,41.89581862,-87.6760469
58448,california pizza kitchen,california pizza kitchen,1228435,restaurant,risk 1 (high),939 w north ave,chicago,il,60642,2010-04-16,tag removal,pass,41.9107384,-87.65262887
58449,baza sports club,baza sports club,1696966,restaurant,risk 1 (high),2500 w chicago ave,chicago,il,60622,2010-04-16,canvass,pass,41.89582528,-87.68937132
58450,blue coral contemporary sushi and  lounge,blu  coral,2008547,restaurant,risk 1 (high),1265 n milwaukee ave,chicago,il,60642,2010-04-16,license re-inspection,pass,41.90485662,-87.6685902
58451,ruxbin kitchen,ruxbin kitchen,2027868,restaurant,risk 1 (high),851 n ashland ave,chicago,il,60622,2010-04-19,license,fail,41.89758036,-87.66718641
58452,burr,burr,22471,school,risk 1 (high),1621 w wabansia ave,chicago,il,60622,2010-04-20,canvass,pass,41.91233061,-87.66864691
58453,clemente comm  (h/s),clemente comm  (h/s),51091,school,risk 1 (high),1147 n western ave,chicago,il,60622,2010-04-20,canvass re-inspection,pass,41.90262318,-87.68686934
58454,puerto-mexico grocery,puerto-mexico grocery,45773,,risk 2 (medium),2600 w thomas st,chicago,il,60622,2010-04-20,out of business,pass,41.90125936,-87.69203326
58455,rock and toms,rock and toms,1740273,,risk 2 (medium),2600 w thomas st,chicago,il,60622,2010-04-20,out of business,pass,41.90125936,-87.69203326
58456,la esquinita del sabor,la esquinita del sabor,1979234,grocery store,risk 1 (high),2600 w thomas st,chicago,il,60622,2010-04-20,complaint,pass,41.90125936,-87.69203326
58457,j. patrick's,j. patrick's,52742,restaurant,risk 1 (high),1365-1367 w erie st,chicago,il,60642,2010-04-20,no entry,pass,41.89330889,-87.66216684
58458,nellies,nellies,1621190,restaurant,risk 1 (high),2458 w division st,chicago,il,60622,2010-04-20,no entry,pass,41.90310359,-87.68934332
58459,wells comm. acad. (h/s),wells comm. acad. (h/s),51071,school,risk 1 (high),936 n ashland ave,chicago,il,60622,2010-04-21,canvass,pass w/ conditions,41.89900506,-87.66751989
58460,zentra,zentra,37577,restaurant,risk 3 (low),923 w weed st,chicago,il,60642,2010-04-21,canvass,fail,41.90968971,-87.65195482
58461,zentra,zentra,37577,restaurant,risk 3 (low),923 w weed st,chicago,il,60642,2010-05-03,canvass re-inspection,pass,41.90968971,-87.65195482
58462,sabin magnet,sabin magnet,29371,school,risk 1 (high),2216 w hirsch st,chicago,il,60622,2010-05-04,canvass,pass,41.90684338,-87.68304259
58463,de diego community,de diego community,31261,school,risk 1 (high),1313 n claremont,chicago,il,60622,2010-05-13,canvass,pass,41.90531549,-87.68572005
58464,coalfire,coalfire,1800532,restaurant,risk 1 (high),1321 w grand ave,chicago,il,60642,2010-05-13,suspected food poisoning,fail,41.89094232,-87.65985672
58465,presence saint mary of nazareth hospital,presence saint mary of nazareth hospital,15788,hospital,risk 1 (high),2233 w division st,chicago,il,60622,2010-05-18,canvass,fail,41.90297191,-87.68348493
58466,forever yogurt,forever yogurt,2033239,restaurant,risk 2 (medium),1924 w north ave,chicago,il,60622,2010-05-18,license,fail,41.91061792,-87.67610192
58467,presence saint mary of nazareth hospital,presence saint mary of nazareth hospital,15786,hospital,risk 1 (high),2233 w division st,chicago,il,60622,2010-05-19,canvass,pass,41.90297191,-87.68348493
58468,duks red hots,duks red hots,69637,restaurant,risk 2 (medium),636 n ashland ave,chicago,il,60622,2010-05-21,complaint,fail,41.89351342,-87.66736305
58469,playa del mar inc,playa del mar inc,11627,,risk 3 (low),1440 w chicago ave,chicago,il,60642,2010-05-21,out of business,pass,41.89623332,-87.66407716
58470,habana libre,habana libre,1739016,restaurant,risk 1 (high),1440 w chicago ave,chicago,il,60642,2010-05-21,canvass,pass,41.89623332,-87.66407716
58471,the violet hour,the violet hour,83111,restaurant,risk 2 (medium),1520 n damen ave,chicago,il,60622,2010-05-21,tag removal,pass,41.9089214,-87.6775678
58472,presence saint mary of nazareth hospital,presence saint mary of nazareth hospital,15788,hospital,risk 1 (high),2233 w division st,chicago,il,60622,2010-05-25,canvass re-inspection,pass,41.90297191,-87.68348493
58473,garrett's popcorn shops,garrett's popcorn shops,1770430,wholesale,risk 3 (low),1716 w hubbard st,chicago,il,60622,2010-06-02,canvass,pass,41.8899446,-87.67028663
58474,black dog gelato,black dog gelato,2037079,restaurant,risk 2 (medium),859 n damen ave,chicago,il,60622,2010-06-03,license,fail,41.89768855,-87.67695627
58475,fasil,fasil,1474274,restaurant,risk 2 (medium),2729 w division st,chicago,il,60622,2010-06-03,canvass,fail,41.90282606,-87.69560739
58476,chicago's best sub,best sub,2036634,restaurant,risk 2 (medium),2729 w division st,chicago,il,60622,2010-06-03,license,fail,41.90282606,-87.69560739
58477,smother brothers,smother brothers,1880119,restaurant,risk 1 (high),107 n kedzie ave,chicago,il,60612,2010-06-03,complaint re-inspection,pass,41.88307572,-87.70603138
58478,diana' food & restaurant,diana's food & restaurant,1579625,restaurant,risk 1 (high),1000 n francisco ave,chicago,il,60622,2010-06-04,canvass,pass,41.8993212,-87.69940879
58479,chickpea,chickpea,1932890,restaurant,risk 1 (high),2018 w chicago ave,chicago,il,60622,2010-06-04,canvass,pass,41.89600605,-87.67786193
58480,centered chef food studios,centered chef food studios,1743488,restaurant,risk 1 (high),1715 w chicago ave,chicago,il,60622,2010-06-09,canvass,fail,41.89591277,-87.67033934
58481,naty's pizza #2,naty's pizza #2,38483,restaurant,risk 1 (high),1757 w chicago ave,chicago,il,60622,2010-06-09,canvass,pass,41.89588463,-87.67203069
58482,mac's american food,mac's american food,80542,restaurant,risk 1 (high),1801 w division st,chicago,il,60622,2010-06-15,no entry,pass,41.90315615,-87.67242232
58483,el taco veloz taqueria,el taco veloz taqueria,45693,restaurant,risk 1 (high),1745 w chicago ave,chicago,il,60622,2010-06-16,complaint,fail,41.89589266,-87.67156245
58484,adobo grill,adobo grill,2027973,restaurant,risk 1 (high),2005-2007 w division st,chicago,il,60622,2010-06-18,license re-inspection,fail,41.90307675,-87.67752782
58485,adobo grill,adobo grill,2027974,restaurant,risk 3 (low),2005-2007 w division st,chicago,il,60622,2010-06-18,license re-inspection,fail,41.90307675,-87.67752782
58486,paradise cantina,paradise cantina,1593859,restaurant,risk 1 (high),2015 w division ave,chicago,il,60622,2010-06-18,no entry,pass,41.90306968,-87.67790676
58487,hoosier mama pie company,hoosier mama pie company,1942500,restaurant,risk 1 (high),1618 1/2 w chicago ave,chicago,il,60622,2010-06-21,canvass,fail,41.89616972,-87.66811805
58488,china lite original,china lite original,2036906,restaurant,risk 1 (high),1146 n milwaukee ave,chicago,il,60642,2010-06-21,license re-inspection,fail,41.90246227,-87.66530609
58489,tipsycake,tipsycake,1718109,bakery,risk 2 (medium),1043 n california ave,chicago,il,60622,2010-06-22,complaint,pass,41.90063956,-87.69667798
58490,chikurin,chikurin sushi and chinese crusine,2003677,restaurant,risk 1 (high),1811 w north ave,chicago,il,60622,2010-06-22,license,fail,41.91044395,-87.67305724
58491,forever yogurt,forever yogurt,2033239,restaurant,risk 2 (medium),1924 w north ave,chicago,il,60622,2010-06-22,license re-inspection,fail,41.91061792,-87.67610192
58492,jewel food store #3241,jewel food store #3241,1398,grocery store,risk 1 (high),1341 n paulina st,chicago,il,60622,2010-06-25,canvass re-inspection,pass,41.9062437,-87.66986228
58493,the crocodile,the crocodile,1892523,restaurant,risk 2 (medium),1540 n milwaukee ave,chicago,il,60622,2010-06-25,canvass,pass,41.90942003,-87.67619508
58494,forever yogurt,forever yogurt,2033239,restaurant,risk 2 (medium),1924 w north ave,chicago,il,60622,2010-06-25,license re-inspection,pass,41.91061792,-87.67610192
58495,china lite original,china lite original,2036906,restaurant,risk 1 (high),1146 n milwaukee ave,chicago,il,60642,2010-06-25,license re-inspection,fail,41.90246227,-87.66530609
58496,mana food bar,mana food bar,1887987,restaurant,risk 1 (high),1742 w division st,chicago,il,60622,2010-06-25,canvass,pass,41.90338676,-87.67174027
58497,restaurant depot,restaurant depot,70085,wholesale,risk 3 (low),1030 w division st,chicago,il,60622,2010-06-30,short form complaint,fail,41.90366842,-87.65369936
58498,veggie bite,veggie bite,1892363,restaurant,risk 1 (high),1300 n milwaukee ave,chicago,il,60622,2010-06-30,canvass,fail,41.90520009,-87.66957875
58499,casa central community service,casa central community service,60766,restaurant,risk 1 (high),1343 n california ave,chicago,il,60622,2010-07-01,canvass,pass,41.90598597,-87.69680736
58500,casa central community service,casa central community service,60765,restaurant,risk 1 (high),1343 n california ave,chicago,il,60622,2010-07-01,canvass,pass,41.90598597,-87.69680736
58501,china lite original,china lite original,2036906,restaurant,risk 1 (high),1146 n milwaukee ave,chicago,il,60642,2010-07-01,license re-inspection,pass,41.90246227,-87.66530609
58502,veggie bite,veggie bite,1892363,restaurant,risk 1 (high),1300 n milwaukee ave,chicago,il,60622,2010-07-12,canvass re-inspection,pass,41.90520009,-87.66957875
58503,puerto rico food & liquors,puerto rico food & liquors,2033135,grocery store,risk 3 (low),2559 w augusta blvd,chicago,il,60622,2010-07-20,license-task force,fail,41.89922158,-87.69173812
58504,letiza's natural bakery / enoteca roma,letiza's natural bakery / enoteca roma,1489064,restaurant,risk 1 (high),2144-2146 w division st,chicago,il,60622,2010-07-22,complaint,fail,41.90322676,-87.68149122
58505,bob san sushi bar,harvest moon,1921939,restaurant,risk 1 (high),1805-1809 w division st,chicago,il,60622,2010-07-27,canvass,pass,41.90315323,-87.67258598
58506,subway,subway,2037491,restaurant,risk 1 (high),1129 n western ave,chicago,il,60622,2010-07-28,license re-inspection,pass,41.90204391,-87.68685825
58507,taxim,taxim,1801485,restaurant,risk 1 (high),1558 n milwaukee ave,chicago,il,60622,2010-07-29,canvass,pass,41.90973834,-87.67669265
58508,pizza-metro,pizza-metro,1545880,restaurant,risk 1 (high),1707 w division st,chicago,il,60622,2010-09-27,canvass,pass,41.90319053,-87.67029009
58509,janina's deli,bouefghaus,1094341,restaurant,risk 1 (high),1012 n western ave,chicago,il,60622,2010-09-27,canvass,pass,41.89983387,-87.68709616
58510,andersen,andersen,31011,school,risk 1 (high),1148 n honore st,chicago,il,60622,2010-10-28,canvass,pass,41.90290876,-87.67373263
58511,butterfly,butterfly,1618925,restaurant,risk 1 (high),1156 w grand ave,chicago,il,60642,2010-10-28,suspected food poisoning re-inspection,pass,41.89119527,-87.65688616
58512,"star lounge coffee bar, inc.","star lounge coffee bar, inc.",1942442,restaurant,risk 2 (medium),2521 w chicago ave,chicago,il,60622,2010-10-29,canvass,fail,41.89559836,-87.69016095
58513,duks red hots,duks red hots,69637,restaurant,risk 2 (medium),636 n ashland ave,chicago,il,60622,2010-10-29,short form complaint,pass,41.89351342,-87.66736305
58514,crush,crush,1939011,grocery store,risk 3 (low),1315 w chicago ave,chicago,il,60642,2010-11-10,canvass,pass,41.8960754,-87.66014622
58515,mini oxxo market,mini oxxo market,2060938,grocery store,risk 3 (low),1315 w chicago ave,chicago,il,60642,2010-11-10,license,fail,41.8960754,-87.66014622
58516,subway,subway,1622996,restaurant,risk 1 (high),780 n milwaukee ave,chicago,il,60642,2010-11-19,canvass,pass w/ conditions,41.89579624,-87.6549536
58517,smallbar division,small bar #2,87119,restaurant,risk 1 (high),2049 w division st,chicago,il,60622,2010-12-03,canvass,fail,41.90304558,-87.67919511
58518,smallbar division,small bar #2,87119,restaurant,risk 1 (high),2049 w division st,chicago,il,60622,2010-12-14,canvass re-inspection,pass,41.90304558,-87.67919511
58519,the aberdeen tap,the aberdeen tap,1819996,restaurant,risk 1 (high),440 n aberdeen st,chicago,il,60642,2010-12-15,complaint,fail,41.89006821,-87.65474705
58520,innjoy,innjoy,1118748,restaurant,risk 1 (high),2051 w division st,chicago,il,60622,2010-12-15,canvass,fail,41.90304416,-87.6792709
58521,clemente comm  (h/s),clemente comm  (h/s),51091,school,risk 1 (high),1147 n western ave,chicago,il,60622,2010-12-17,canvass,pass,41.90262318,-87.68686934
58522,"peeled,inc.",peeled,2059463,restaurant,risk 2 (medium),1571 n sheffield ave,chicago,il,60642,2010-12-20,license,fail,41.91054576,-87.65295085
58523,chi-town pizza,chi-town pizza,87125,restaurant,risk 1 (high),11 w division st,chicago,il,60610,2010-12-22,complaint-fire,pass,41.90382384,-87.62916036
58524,7-eleven #33956a,7-eleven #33956a,1889035,grocery store,risk 2 (medium),1942 n elston ave,chicago,il,60622,2010-12-22,canvass,pass w/ conditions,41.91747359,-87.6673401
58525,innjoy,innjoy,1118748,restaurant,risk 1 (high),2051 w division st,chicago,il,60622,2010-12-29,canvass re-inspection,pass,41.90304416,-87.6792709
58526,logan  square  kitchen,logan  square  kitchen,1980406,shared kitchen,risk 1 (high),2333 n milwaukee ave bldg,chicago,il,60647,2011-01-04,canvass,pass,41.92369526,-87.69840855
58527,compassioneat cupcakes,logan square kitchen,2073967,restaurant,risk 2 (medium),2333 n milwaukee ave,chicago,il,60647,2011-01-04,license,pass,41.92369526,-87.69840855
58528,gosu,gosu,2074097,restaurant,risk 1 (high),2515 n california ave,chicago,il,60647,2011-01-06,license,fail,41.92706664,-87.69732984
58529,el cid tacos #2,el cid tacos #2,1948872,restaurant,risk 1 (high),2645 n kedzie ave,chicago,il,60647,2011-01-11,canvass,pass,41.92976286,-87.70722323
58530,brand bbq market,brand bbq market,1986445,restaurant,risk 1 (high),2824 w armitage ave,chicago,il,60647,2011-01-20,canvass,pass,41.91758959,-87.6982529
58531,stowe,stowe elementary school,25521,school,risk 1 (high),3444 w wabansia,chicago,il,60647,2011-01-24,canvass re-inspection,pass,41.91196584,-87.7132855
58532,laguardia's cuban  bistro,laguardia's cuban  bistro,2050010,restaurant,risk 1 (high),3706 w armitage ave,chicago,il,60647,2011-01-24,canvass,pass,41.91735924,-87.71951828
58533,charles  darwin elementary school,main bldg,22881,school,risk 1 (high),3116 w belden,chicago,il,60647,2011-02-01,canvass,pass,41.92334998,-87.70543099
58534,charles darwin modular school,middle school annex,1964656,school,risk 1 (high),3116 w belden ave,chicago,il,60647,2011-02-01,canvass,pass,41.92334998,-87.70543099
58535,papa ray's pizza & wings,papa ray's pizza & wings,2064121,restaurant,risk 1 (high),2551 w fullerton ave,chicago,il,60647,2011-02-09,canvass,pass,41.92475132,-87.69180095
58536,the united center,nba-nhl banquet room s-207,1974745,restaurant,risk 2 (medium),1901 w madison st,chicago,il,60612,2011-02-25,canvass,pass,41.88124146,-87.67428253
58537,the united center,westside grill s-313,1974745,restaurant,risk 2 (medium),1901 w madison st,chicago,il,60612,2011-02-25,canvass,pass,41.88124146,-87.67428253
58538,the united center,mex it up s-330,1974745,restaurant,risk 2 (medium),1901 w madison st,chicago,il,60612,2011-02-25,canvass,pass,41.88124146,-87.67428253
58539,the united center,press lounge s- ll 120,1974745,restaurant,risk 2 (medium),1901 w madison st,chicago,il,60612,2011-02-25,canvass,pass,41.88124146,-87.67428253
58540,the united center,breakaway s-101,1974745,restaurant,risk 2 (medium),1901 w madison st,chicago,il,60612,2011-02-25,canvass,pass,41.88124146,-87.67428253
58541,chase elementary/chase  br,chase elemen./chase br,22702,school,risk 1 (high),2021 n point,chicago,il,60647,2011-03-02,canvass,pass,41.91801539,-87.69454144
58542,cocina de galarza,cocina de galarza,1196442,restaurant,risk 1 (high),2420 w fullerton ave,chicago,il,60647,2011-03-03,canvass,fail,41.92500342,-87.68849232
58543,antico,antico,2031732,restaurant,risk 1 (high),1946 n leavitt st,chicago,il,60647,2011-03-08,license-task force,fail,41.91755732,-87.6826644
58544,antico,antico,2031733,restaurant,risk 1 (high),1946 n leavitt st,chicago,il,60647,2011-03-08,task force liquor 1475,fail,41.91755732,-87.6826644
58545,rinconcito sudamericano inc,rinconcito sudamericano inc,14924,,risk 3 (low),2529 n milwaukee ave,chicago,il,60647,2011-03-08,canvass,out of business,41.92738885,-87.70442806
58546,rinconcito sudamericano inc,rinconcito sudamericano inc,14926,,risk 3 (low),2529 n milwaukee ave,chicago,il,60647,2011-03-08,canvass,out of business,41.92738885,-87.70442806
58547,suite 25,suite 25,2048701,restaurant,risk 1 (high),2529 n milwaukee ave,chicago,il,60647,2011-03-08,license re-inspection,pass,41.92738885,-87.70442806
58548,suite 25,suite 25,2048703,restaurant,risk 1 (high),2529 n milwaukee ave,chicago,il,60647,2011-03-08,license re-inspection,pass,41.92738885,-87.70442806
58549,cafe bella incorporated,cafe bella incorporated,1942619,restaurant,risk 1 (high),3311 w fullerton ave,chicago,il,60647,2011-03-14,canvass,pass,41.92456429,-87.71106463
58550,carnitas el paisa,carnitas el paisa,1222733,restaurant,risk 1 (high),3529 w fullerton ave,chicago,il,60647,2011-03-17,canvass,pass,41.92451795,-87.71500694
58551,san luis restaurant,san luis restaurant,1576631,restaurant,risk 1 (high),2903 w diversey ave,chicago,il,60647,2011-03-23,canvass,pass w/ conditions,41.93196861,-87.7002119
58552,"kangaroo korner learning  center and nursery, inc.",kangaroo korner learning center,2079463,daycare above and under 2 years,risk 1 (high),3446-3458 w fullerton ave,chicago,il,60647,2011-03-24,license-task force,fail,41.92475175,-87.71396498
58553,don chema,don chema,1577802,restaurant,risk 1 (high),2331 n california ave,chicago,il,60647,2011-03-30,canvass re-inspection,pass,41.92381304,-87.69724202
58554,sultan's market,sultan's market,2031862,restaurant,risk 1 (high),2057 w north ave,chicago,il,60647,2011-03-31,complaint,fail,41.91033293,-87.67971585
58555,corner store,corner store,1767559,grocery store,risk 3 (low),3579 w dickens ave,chicago,il,60647,2011-04-07,canvass,pass,41.91900663,-87.7166718
58556,ar family store,corner  store,2088794,grocery store,risk 3 (low),3579 w dickens ave,chicago,il,60647,2011-04-07,license,fail,41.91900663,-87.7166718
58557,"tony's finer foods enterprises, inc.",tony's finer foods,1717867,grocery store,risk 1 (high),3607 w fullerton ave,chicago,il,60647,2011-04-18,complaint re-inspection,pass,41.92449009,-87.71728813
58558,rinconcito cubano rest,rinconcito cubano rest,26891,restaurant,risk 1 (high),3238 w fullerton ave,chicago,il,60647,2011-05-02,complaint,fail,41.92480974,-87.70894998
60242,jewel food store #3170,jewel / osco,1366,grocery store,risk 1 (high),5320 s pulaski rd,chicago,il,60632,2010-01-05,canvass,pass,41.79619759,-87.72339188
60243,angelo's stuffed pizza corp,angelo's stuffed pizza,1045634,restaurant,risk 1 (high),4850 s pulaski rd,chicago,il,60632,2010-01-05,canvass,pass,41.80452511,-87.7236336
60244,zaragoza restaurant,zaragoza restaurant,1904141,restaurant,risk 1 (high),4852 s pulaski rd,chicago,il,60632,2010-01-05,canvass,pass,41.80446826,-87.7236327
60245,star gyros,star gyros,50600,restaurant,risk 1 (high),3400 w roosevelt rd,chicago,il,60624,2010-01-06,complaint,pass,41.86645727,-87.71066733
60246,"hook fish & chicken on madison, inc.","hook fish & chicken on madison, inc.",1868125,restaurant,risk 2 (medium),3952 w monroe st,chicago,il,60624,2010-01-06,complaint,fail,41.87987491,-87.72529036
60247,metropolitan primary academy,,1878468,school,risk 1 (high),4540 w washington blvd,chicago,il,60624,2010-01-06,tag removal,pass,41.88199038,-87.73964835
60248,boom fried rice,boom fried rice,6698,restaurant,risk 2 (medium),356 s pulaski rd,chicago,il,60624,2010-01-06,canvass,fail,41.87537502,-87.72563428
60249,hefferan elementary,hefferan elementary,1878441,school,risk 1 (high),4409 w wilcox st,chicago,il,60624,2010-01-07,consultation,pass,41.87863685,-87.73583687
60250,kiddy kare pre school inc,kiddy kare pre school inc,2013591,children's services facility,risk 1 (high),4401 s kedzie ave,chicago,il,60632,2010-01-07,license-task force,fail,41.81349085,-87.70403979
60251,hefferan elementary,hefferan elementary,1878441,school,risk 1 (high),4409 w wilcox st,chicago,il,60624,2010-01-11,canvass,pass w/ conditions,41.87863685,-87.73583687
60252,lacoco's pizza & pasta,lacoco's pizza & pasta,67229,restaurant,risk 1 (high),3350 w 47th st,chicago,il,60632,2010-01-11,complaint,fail,41.80817261,-87.70848389
60253,moroleon foods #2 inc.,moroleon foods #2,1801622,grocery store,risk 1 (high),4257 s rockwell st,chicago,il,60632,2010-01-12,complaint,fail,41.81577112,-87.6893859
60254,new happy chop suey,new happy chop suey,1675900,restaurant,risk 1 (high),3901 s california ave,chicago,il,60632,2010-01-12,canvass,pass,41.82273508,-87.69448432
60255,supermercado el guero #10 inc,supermercado el guero #10 inc,39978,grocery store,risk 1 (high),4023 s archer ave,chicago,il,60632,2010-01-13,suspected food poisoning,pass,41.82058304,-87.69342617
60256,the submarine pier inc.,the submarine pier,1092597,restaurant,risk 1 (high),4048 s archer ave,chicago,il,60632,2010-01-13,canvass,fail,41.82014352,-87.69460124
60257,tierra caliente inc,tierra caliente,35999,restaurant,risk 1 (high),4070 s archer ave,chicago,il,60632,2010-01-13,canvass,pass w/ conditions,41.81969676,-87.69533211
60258,"hook fish & chicken on madison, inc.","hook fish & chicken on madison, inc.",1868125,restaurant,risk 2 (medium),3952 w monroe st,chicago,il,60624,2010-01-14,complaint re-inspection,pass,41.87987491,-87.72529036
60259,boom fried rice,boom fried rice,6698,restaurant,risk 2 (medium),356 s pulaski rd,chicago,il,60624,2010-01-14,canvass re-inspection,pass,41.87537502,-87.72563428
60260,kiddy kare pre school inc,kiddy kare pre school inc,2013591,children's services facility,risk 1 (high),4401 s kedzie ave,chicago,il,60632,2010-01-14,license re-inspection,pass,41.81349085,-87.70403979
60261,frazier  international,frazier  international,29411,school,risk 1 (high),4027 w grenshaw,chicago,il,60624,2010-01-15,canvass,pass,41.86695871,-87.72631742
60262,hooks fish and chicken,hooks fish and chicken,1619657,restaurant,risk 2 (medium),4024 w roosevelt rd,chicago,il,60624,2010-01-15,canvass,pass,41.86626841,-87.72611133
60263,mcdonald's,mcdonald's,33706,restaurant,risk 2 (medium),3200 w roosevelt rd,chicago,il,60624,2010-01-15,short form complaint,fail,41.86651389,-87.7057336
60264,subway,subway,1447811,restaurant,risk 1 (high),4030 w roosevelt rd,chicago,il,60624,2010-01-20,canvass,pass,41.86626526,-87.7263306
60265,uncle remus,uncle remus,1305369,restaurant,risk 1 (high),4144 w madison st,chicago,il,60624,2010-01-20,complaint,pass,41.88078471,-87.72986386
60266,lacoco's pizza & pasta,lacoco's pizza & pasta,67229,restaurant,risk 1 (high),3350 w 47th st,chicago,il,60632,2010-01-20,complaint re-inspection,pass w/ conditions,41.80817261,-87.70848389
60267,the submarine pier inc.,the submarine pier,1092597,restaurant,risk 1 (high),4048 s archer ave,chicago,il,60632,2010-01-20,canvass re-inspection,pass,41.82014352,-87.69460124
